SDN,CRUISE,STATION,LON,LAT,date,lon_W
739392.560613524,1902637,53,-18.3261968333333,59.1179313333333,2024-27-20,-18.3261968333333
739397.557812659,1902637,54,-18.7690686666667,59.5273756666667,2024-23-25,-18.7690686666667
739402.56062505,1902637,55,-19.1886105,59.4596915,2024-27-30,-19.1886105
739407.561979318,1902637,56,-18.4260183333333,59.117412,2024-29-04,-18.4260183333333
739412.555069493,1902637,57,-17.1810405,59.46464,2024-19-09,-17.1810405
739417.561990843,1902637,58,-17.7484268333333,59.919782,2024-29-14,-17.7484268333333
739422.559213118,1902637,59,-17.5675721666667,60.0327405,2024-25-19,-17.5675721666667
739427.559224586,1902637,60,-17.7063636666667,60.3793038333333,2024-25-24,-17.7063636666667
739432.561990841,1902637,61,-18.3515961666667,60.6346243333333,2024-29-29,-18.3515961666667
739437.560613523,1902637,62,-18.752721,60.9130621666667,2024-27-04,-18.752721
739446.56057884,1902637,63,-19.0632645,60.7965028333333,2024-27-13,-19.0632645
739455.560567267,1902637,64,-19.7859256666667,60.1074588333333,2024-27-22,-19.7859256666667
739464.560555734,1902637,65,-18.969047,59.608424,2024-27-31,-18.969047
739150.82680562,1902685,1,-156.399877833333,19.522008,2023-50-21,-156.399877833333
739151.555462626,1902685,1,-156.339509833333,19.5978573333333,2023-19-22,-156.339509833333
739152.994016029,1902685,2,-156.298129833333,19.6851343333333,2023-51-23,-156.298129833333
739153.909305278,1902685,3,-156.258861333333,19.7917285,2023-49-24,-156.258861333333
739154.907904839,1902685,4,-156.263722166667,19.9140656666667,2023-47-25,-156.263722166667
739155.909282407,1902685,5,-156.313221166667,20.0512706666667,2023-49-26,-156.313221166667
739156.909305043,1902685,6,-156.429952166667,20.1648546666667,2023-49-27,-156.429952166667
739157.906527521,1902685,7,-156.545897333333,20.2483646666667,2023-45-28,-156.545897333333
739158.910694186,1902685,8,-156.6804645,20.2869646666667,2023-51-29,-156.6804645
739160.907847222,1902685,9,-157.010303166667,20.2075126666667,2023-47-01,-157.010303166667
739162.907847222,1902685,10,-157.197948166667,20.0358175,2023-47-03,-157.197948166667
739164.907847222,1902685,11,-157.429418,19.8834678333333,2023-47-05,-157.429418
739166.906458333,1902685,12,-157.549101333333,19.8053805,2023-45-07,-157.549101333333
739168.907847222,1902685,13,-157.614958,19.6855455,2023-47-09,-157.614958
739170.912013889,1902685,14,-157.715638166667,19.5627853333333,2023-53-11,-157.715638166667
739172.907847222,1902685,15,-157.7882015,19.4435601666667,2023-47-13,-157.7882015
739174.909236111,1902685,16,-157.7952115,19.3446065,2023-49-15,-157.7952115
739176.909247685,1902685,17,-157.821144833333,19.237962,2023-49-17,-157.821144833333
739178.909247685,1902685,18,-157.723418333333,19.185779,2023-49-19,-157.723418333333
739180.912025463,1902685,19,-157.609372333333,19.1037061666667,2023-53-21,-157.609372333333
739182.909247685,1902685,20,-157.431757333333,19.0859091666667,2023-49-23,-157.431757333333
739187.910648045,1902685,21,-157.199777666667,19.2008806666667,2023-51-28,-157.199777666667
739192.909259157,1902685,22,-157.067268833333,19.5177526666667,2023-49-02,-157.067268833333
739197.909247633,1902685,23,-156.998154,19.8429993333333,2023-49-07,-156.998154
